 Mach Number             Cd Rocket - (Unpowered) Cd - Rocket (Powered)  
 1.98000000000000E+0000  5.18033243224647E-0001  4.67885975315191E-0001 
 2.01000000000000E+0000  5.14346020796728E-0001  4.64888389519325E-0001 
 2.04000000000000E+0000  5.11154081408973E-0001  4.62377344490479E-0001 
 2.07000000000000E+0000  5.07990908128491E-0001  4.59886096710799E-0001 
 2.10000000000000E+0000  5.04855420631626E-0001  4.57413382982206E-0001 
 2.13000000000000E+0000  5.01746605461099E-0001  4.54958046048384E-0001 
 2.16000000000000E+0000  4.98663512953940E-0001  4.52519027343511E-0001 
 2.19000000000000E+0000  4.95605254368339E-0001  4.50095360351010E-0001 
 2.22000000000000E+0000  4.92570999190948E-0001  4.47686164513517E-0001 
 2.25000000000000E+0000  4.89559972608529E-0001  4.45290639641563E-0001 
 2.28000000000000E+0000  4.86571453129761E-0001  4.42908060774055E-0001 
 2.31000000000000E+0000  4.83604770344693E-0001  4.40537773448518E-0001 
 2.34000000000000E+0000  4.80659302810743E-0001  4.38179189343429E-0001 
 2.37000000000000E+0000  4.77734476055334E-0001  4.35831782258808E-0001 
 2.40000000000000E+0000  4.74829760686308E-0001  4.33495084404603E-0001 
 2.43000000000000E+0000  4.71944670602159E-0001  4.31168682969504E-0001 
 2.46000000000000E+0000  4.69078761294902E-0001  4.28852216945460E-0001 
 2.49000000000000E+0000  4.66231628239088E-0001  4.26545374185636E-0001 
 2.52000000000000E+0000  4.63402905361072E-0001  4.24247888675659E-0001 
 2.55000000000000E+0000  4.60592263583191E-0001  4.21959537999961E-0001 
 2.58000000000000E+0000  4.57799409437938E-0001  4.19680140986745E-0001 
 2.61000000000000E+0000  4.55024083747693E-0001  4.17409555516646E-0001 
 2.64000000000000E+0000  4.52266060365902E-0001  4.15147676481556E-0001 
 2.67000000000000E+0000  4.49525144975942E-0001  4.12894433881322E-0001 
 2.70000000000000E+0000  4.46801173944223E-0001  4.10649791047184E-0001 
 2.73000000000000E+0000  4.44094013224330E-0001  4.08413742981773E-0001 
 2.76000000000000E+0000  4.41403557309264E-0001  4.06186314806482E-0001 
 2.79000000000000E+0000  4.38794876515199E-0001  4.04032708593910E-0001 
 2.82000000000000E+0000  4.36218336401166E-0001  4.01903422384687E-0001 
 2.85000000000000E+0000  4.33656043383069E-0001  3.99780695442419E-0001 
 2.88000000000000E+0000  4.31108059922049E-0001  3.97664723122567E-0001 
 2.91000000000000E+0000  4.28574471476290E-0001  3.95555723540570E-0001 
 2.94000000000000E+0000  4.26055385607455E-0001  3.93453936426937E-0001 
 2.97000000000000E+0000  4.23550931132497E-0001  3.91359622056955E-0001 
 3.00000000000000E+0000  4.21061257318070E-0001  3.89273060249406E-0001 
